name,surname,cellphone,email,address,password
Tsidi,Tsotetsi,734567654,tsidi@gmail.com,65 Phillip street,12345
carlo,mashaba,0823541398,carlo@gmail.com,99 jan han,1122
thami,thomas,0823541398,thami@gmail.com,22 san,1122
zamo,kuhle,0873452362,zamo@gmail.com,33 dan,2211
sbu,siso,0765567876,sbu@gmail.com,33 gan,2211
tso,so,0098765736,tso@gmail.com,33 wer,1122
WEE,WRE,0464576979,WED@gmail.com,r32trsvdv,1122
amo,kani,0785464432,amo@gmail.com,99 jan hen ave,1122
dev,inno,0783425567,dev@gmail.com,34 rwmbusa wefws,1122
onalenna,nna,0786654344,Ona@gmail.com,556 gundi square,1122
